# z[kpc], Isyn1, Isyn2, alpha_syn, I1, I2, alpha
2.280000e+00 7.272529e-02 1.922246e-02 1.070142e+00 8.485082e-02 7.899760e-02 9.325266e-01
2.320000e+00 7.060665e-02 1.857398e-02 1.073964e+00 8.280995e-02 7.705523e-02 9.329681e-01
2.360000e+00 6.873722e-02 1.801563e-02 1.076931e+00 8.085235e-02 7.519292e-02 9.334041e-01
2.400000e+00 6.726534e-02 1.757176e-02 1.079586e+00 7.897338e-02 7.340617e-02 9.338349e-01
2.440000e+00 6.531106e-02 1.697813e-02 1.083513e+00 7.716867e-02 7.169076e-02 9.342606e-01
2.480000e+00 6.352506e-02 1.645018e-02 1.086620e+00 7.543417e-02 7.004274e-02 9.346815e-01
2.520000e+00 6.228192e-02 1.607635e-02 1.089212e+00 7.376605e-02 6.845843e-02 9.350978e-01
2.560000e+00 6.059187e-02 1.556483e-02 1.093093e+00 7.216073e-02 6.693435e-02 9.355096e-01
2.600000e+00 5.896567e-02 1.508745e-02 1.096266e+00 7.061486e-02 6.546729e-02 9.359172e-01
2.640000e+00 5.786410e-02 1.475868e-02 1.098818e+00 6.912531e-02 6.405420e-02 9.363207e-01
2.680000e+00 5.629767e-02 1.428664e-02 1.102890e+00 6.768912e-02 6.269224e-02 9.367202e-01
2.720000e+00 5.496500e-02 1.389718e-02 1.105851e+00 6.630353e-02 6.137875e-02 9.371159e-01
2.760000e+00 5.391600e-02 1.358828e-02 1.108432e+00 6.496594e-02 6.011122e-02 9.375080e-01
2.800000e+00 5.249165e-02 1.315976e-02 1.112671e+00 6.367392e-02 5.888731e-02 9.378966e-01
2.840000e+00 5.123371e-02 1.279452e-02 1.115799e+00 6.242516e-02 5.770480e-02 9.382818e-01
2.880000e+00 5.028574e-02 1.252072e-02 1.118177e+00 6.121752e-02 5.656163e-02 9.386637e-01
2.920000e+00 4.928910e-02 1.222206e-02 1.121493e+00 6.004897e-02 5.545585e-02 9.390425e-01
2.960000e+00 4.812011e-02 1.187949e-02 1.125053e+00 5.891760e-02 5.438563e-02 9.394182e-01
3.000000e+00 4.699521e-02 1.155611e-02 1.128226e+00 5.782162e-02 5.334923e-02 9.397910e-01
3.040000e+00 4.623109e-02 1.133209e-02 1.130785e+00 5.675934e-02 5.234505e-02 9.401609e-01
3.080000e+00 4.504027e-02 1.098022e-02 1.135167e+00 5.572917e-02 5.137156e-02 9.405281e-01
3.120000e+00 4.403498e-02 1.069201e-02 1.138405e+00 5.472961e-02 5.042731e-02 9.408927e-01
3.160000e+00 4.326688e-02 1.047355e-02 1.140855e+00 5.375925e-02 4.951095e-02 9.412546e-01
3.200000e+00 4.261842e-02 1.028416e-02 1.143386e+00 5.281675e-02 4.862121e-02 9.416141e-01
3.240000e+00 4.154117e-02 9.968421e-03 1.147875e+00 5.190085e-02 4.775688e-02 9.419712e-01
3.280000e+00 4.067834e-02 9.724178e-03 1.150945e+00 5.101038e-02 4.691682e-02 9.423259e-01
3.320000e+00 3.990653e-02 9.505338e-03 1.153845e+00 5.014420e-02 4.609996e-02 9.426784e-01
3.360000e+00 3.922447e-02 9.305848e-03 1.157039e+00 4.930126e-02 4.530528e-02 9.430287e-01
3.400000e+00 3.841641e-02 9.072881e-03 1.160688e+00 4.848057e-02 4.453184e-02 9.433768e-01
3.440000e+00 3.760669e-02 8.845193e-03 1.163996e+00 4.768117e-02 4.377873e-02 9.437229e-01
3.480000e+00 3.692645e-02 8.654930e-03 1.166804e+00 4.690218e-02 4.304508e-02 9.440669e-01
3.520000e+00 3.630508e-02 8.474639e-03 1.170086e+00 4.614274e-02 4.233010e-02 9.444090e-01
3.560000e+00 3.556576e-02 8.263168e-03 1.173862e+00 4.540207e-02 4.163302e-02 9.447492e-01
3.600000e+00 3.484600e-02 8.063522e-03 1.177089e+00 4.467939e-02 4.095312e-02 9.450876e-01
3.640000e+00 3.427477e-02 7.905386e-03 1.179725e+00 4.397400e-02 4.028971e-02 9.454242e-01
3.680000e+00 3.378961e-02 7.767966e-03 1.182363e+00 4.328521e-02 3.964214e-02 9.457590e-01
3.720000e+00 3.296234e-02 7.530773e-03 1.187367e+00 4.261239e-02 3.900979e-02 9.460921e-01
3.760000e+00 3.229860e-02 7.347970e-03 1.190771e+00 4.195492e-02 3.839209e-02 9.464235e-01
3.800000e+00 3.177068e-02 7.204502e-03 1.193375e+00 4.131222e-02 3.778848e-02 9.467533e-01
3.840000e+00 3.137709e-02 7.093919e-03 1.195790e+00 4.068374e-02 3.719844e-02 9.470815e-01
3.880000e+00 3.077447e-02 6.922520e-03 1.199864e+00 4.006897e-02 3.662146e-02 9.474082e-01
3.920000e+00 3.000342e-02 6.707914e-03 1.204784e+00 3.946740e-02 3.605708e-02 9.477334e-01
3.960000e+00 2.954221e-02 6.586480e-03 1.207018e+00 3.887858e-02 3.550485e-02 9.480572e-01
4.000000e+00 2.913526e-02 6.474239e-03 1.209685e+00 3.830204e-02 3.496434e-02 9.483795e-01
4.040000e+00 2.865959e-02 6.340400e-03 1.213247e+00 3.773737e-02 3.443514e-02 9.487004e-01
4.080000e+00 2.808942e-02 6.181715e-03 1.217470e+00 3.718416e-02 3.391687e-02 9.490199e-01
4.120000e+00 2.753460e-02 6.033434e-03 1.220952e+00 3.664203e-02 3.340917e-02 9.493381e-01
4.160000e+00 2.709757e-02 5.917284e-03 1.223718e+00 3.611061e-02 3.291167e-02 9.496551e-01
4.200000e+00 2.672844e-02 5.816404e-03 1.226517e+00 3.558955e-02 3.242405e-02 9.499707e-01
4.240000e+00 2.626121e-02 5.685405e-03 1.230654e+00 3.507852e-02 3.194600e-02 9.502851e-01
4.280000e+00 2.563830e-02 5.515648e-03 1.235727e+00 3.457721e-02 3.147720e-02 9.505983e-01
4.320000e+00 2.522021e-02 5.408838e-03 1.238231e+00 3.408531e-02 3.101738e-02 9.509103e-01
4.360000e+00 2.487921e-02 5.317522e-03 1.240977e+00 3.360254e-02 3.056625e-02 9.512211e-01
4.400000e+00 2.447718e-02 5.206353e-03 1.244866e+00 3.312862e-02 3.012356e-02 9.515308e-01
4.440000e+00 2.399786e-02 5.075721e-03 1.249398e+00 3.266328e-02 2.968904e-02 9.518394e-01
4.480000e+00 2.352520e-02 4.952160e-03 1.253220e+00 3.220628e-02 2.926248e-02 9.521469e-01
4.520000e+00 2.318298e-02 4.865232e-03 1.255677e+00 3.175738e-02 2.884363e-02 9.524533e-01
4.560000e+00 2.290042e-02 4.790409e-03 1.258279e+00 3.131635e-02 2.843227e-02 9.527587e-01
4.600000e+00 2.253143e-02 4.689805e-03 1.262285e+00 3.088297e-02 2.802820e-02 9.530630e-01
4.640000e+00 2.208585e-02 4.569476e-03 1.267125e+00 3.045703e-02 2.763122e-02 9.533663e-01
4.680000e+00 2.165380e-02 4.459153e-03 1.270892e+00 3.003833e-02 2.724113e-02 9.536687e-01
4.720000e+00 2.131572e-02 4.373631e-03 1.273811e+00 2.962668e-02 2.685775e-02 9.539701e-01
4.760000e+00 2.106419e-02 4.307683e-03 1.276483e+00 2.922190e-02 2.648091e-02 9.542706e-01
4.800000e+00 2.071889e-02 4.215512e-03 1.280585e+00 2.882380e-02 2.611043e-02 9.545701e-01
4.840000e+00 2.031122e-02 4.107538e-03 1.285471e+00 2.843222e-02 2.574616e-02 9.548687e-01
4.880000e+00 1.992328e-02 4.008750e-03 1.289540e+00 2.804699e-02 2.538794e-02 9.551664e-01
4.920000e+00 1.962617e-02 3.935745e-03 1.292238e+00 2.766797e-02 2.503561e-02 9.554633e-01
4.960000e+00 1.937282e-02 3.870990e-03 1.295131e+00 2.729499e-02 2.468904e-02 9.557593e-01
5.000000e+00 1.907742e-02 3.792578e-03 1.299232e+00 2.692792e-02 2.434808e-02 9.560545e-01
5.040000e+00 1.867882e-02 3.688908e-03 1.304540e+00 2.656662e-02 2.401261e-02 9.563488e-01
5.080000e+00 1.834377e-02 3.604673e-03 1.308561e+00 2.621095e-02 2.368250e-02 9.566423e-01
5.120000e+00 1.807072e-02 3.538775e-03 1.311338e+00 2.586079e-02 2.335762e-02 9.569351e-01
5.160000e+00 1.782993e-02 3.477936e-03 1.314497e+00 2.551601e-02 2.303785e-02 9.572271e-01
