# nu[Hz], N(z_1), N(z_2), N(z_3), N(z_4), N(z_5), N(z_6)
 1.035142e+06  9.639673e-01  9.627309e-01  9.612516e-01  9.600078e-01  9.585286e-01  9.565873e-01
 1.071519e+06  9.296320e-01  9.284334e-01  9.270020e-01  9.258004e-01  9.243728e-01  9.225007e-01
 1.109175e+06  8.965197e-01  8.953572e-01  8.939712e-01  8.928092e-01  8.914299e-01  8.896222e-01
 1.148154e+06  8.645867e-01  8.634593e-01  8.621172e-01  8.609936e-01  8.596611e-01  8.579161e-01
 1.188502e+06  8.337911e-01  8.326976e-01  8.313980e-01  8.303115e-01  8.290242e-01  8.273395e-01
 1.230269e+06  8.040923e-01  8.030316e-01  8.017731e-01  8.007224e-01  7.994787e-01  7.978523e-01
 1.273503e+06  7.754514e-01  7.744225e-01  7.732037e-01  7.721875e-01  7.709859e-01  7.694158e-01
 1.318257e+06  7.478306e-01  7.468324e-01  7.456520e-01  7.446692e-01  7.435083e-01  7.419924e-01
 1.364583e+06  7.211935e-01  7.202251e-01  7.190818e-01  7.181313e-01  7.170096e-01  7.155461e-01
 1.412538e+06  6.955053e-01  6.945656e-01  6.934582e-01  6.925388e-01  6.914551e-01  6.900420e-01
 1.462177e+06  6.707319e-01  6.698202e-01  6.687474e-01  6.678582e-01  6.668110e-01  6.654467e-01
 1.513561e+06  6.468410e-01  6.459562e-01  6.449170e-01  6.440568e-01  6.430449e-01  6.417277e-01
 1.566751e+06  6.238009e-01  6.229423e-01  6.219356e-01  6.211034e-01  6.201257e-01  6.188538e-01
 1.621810e+06  6.015815e-01  6.007483e-01  5.997729e-01  5.989679e-01  5.980230e-01  5.967949e-01
 1.678804e+06  5.801536e-01  5.793448e-01  5.783997e-01  5.776209e-01  5.767078e-01  5.755221e-01
 1.737801e+06  5.594888e-01  5.587037e-01  5.577880e-01  5.570345e-01  5.561521e-01  5.550071e-01
 1.798871e+06  5.395601e-01  5.387980e-01  5.379106e-01  5.371816e-01  5.363288e-01  5.352232e-01
 1.862087e+06  5.203412e-01  5.196013e-01  5.187414e-01  5.180360e-01  5.172118e-01  5.161442e-01
 1.927525e+06  5.018068e-01  5.010885e-01  5.002551e-01  4.995726e-01  4.987760e-01  4.977450e-01
 1.995262e+06  4.839326e-01  4.832352e-01  4.824274e-01  4.817670e-01  4.809970e-01  4.800015e-01
 2.065380e+06  4.666950e-01  4.660178e-01  4.652349e-01  4.645958e-01  4.638516e-01  4.628902e-01
 2.137962e+06  4.500714e-01  4.494138e-01  4.486549e-01  4.480364e-01  4.473170e-01  4.463886e-01
 2.213095e+06  4.340399e-01  4.334013e-01  4.326656e-01  4.320670e-01  4.313716e-01  4.304750e-01
 2.290868e+06  4.185794e-01  4.179591e-01  4.172459e-01  4.166666e-01  4.159944e-01  4.151284e-01
 2.371374e+06  4.036695e-01  4.030671e-01  4.023757e-01  4.018149e-01  4.011651e-01  4.003288e-01
 2.454709e+06  3.892908e-01  3.887056e-01  3.880352e-01  3.874924e-01  3.868642e-01  3.860564e-01
 2.540973e+06  3.754242e-01  3.748557e-01  3.742056e-01  3.736802e-01  3.730729e-01  3.722927e-01
 2.630268e+06  3.620514e-01  3.614992e-01  3.608688e-01  3.603602e-01  3.597730e-01  3.590195e-01
 2.722701e+06  3.491550e-01  3.486185e-01  3.480072e-01  3.475147e-01  3.469470e-01  3.462192e-01
