#z(kpc)	I_LOFAR		Err		alpha	err
0.0	1.00E+00	3.71E-01	-0.62	0.26
1.0	8.37E-01	3.68E-01	-0.60	0.31
2.0	6.20E-01	2.52E-01	-0.63	0.28
3.0	3.85E-01	1.40E-01	-0.73	0.26
4.0	2.44E-01	6.36E-02	-0.81	0.19
5.0	1.59E-01	3.61E-02	-0.84	0.16
6.0	1.14E-01	1.90E-02	-0.90	0.13
7.0	7.96E-02	1.53E-02	-0.94	0.17
8.0	4.97E-02	1.12E-02	-0.99	0.22
9.0	4.01E-02	9.87E-03	-1.15	0.27
10.0	3.47E-02	1.05E-02	-1.42	0.35
11.0	2.21E-02	9.92E-03	-1.73	0.73
